Country/Other,Total Cases,Total Deaths,Total Recovered,Active Cases,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population
Algeria,265739,6874,178335.0,80530.0,5870,152,230861.0,5100.0,45267027
Angola,99194,1900,97149.0,145.0,2859,55,1499795.0,43230.0,34693502
Benin,26952,163,25506.0,1283.0,2124,13,604310.0,47618.0,12690836
Botswana,305859,2688,303026.0,145.0,125531,1103,2026898.0,831880.0,2436528
Burkina Faso,20853,382,20439.0,32.0,951,17,248995.0,11355.0,21927855
Burundi,38722,38,773.0,37911.0,3092,3,345742.0,27607.0,12523760
CAR,14649,113,6859.0,7677.0,2942,23,81294.0,16324.0,4979934
Cabo Verde,55990,401,55523.0,66.0,98785,707,400982.0,707464.0,566788
Cameroon,119780,1927,117791.0,62.0,4320,69,1751774.0,63179.0,27727158
Chad,7378,192,4874.0,2312.0,427,11,191341.0,11080.0,17268348
Comoros,8100,160,7933.0,7.0,8973,177,,,902722
Congo,24079,385,20178.0,3516.0,4180,67,347815.0,60375.0,5760900
DRC,87023,1337,50930.0,34756.0,922,14,846704.0,8967.0,94427966
Djibouti,15598,189,15404.0,5.0,15387,186,302030.0,297949.0,1013696
Egypt,511977,24522,442182.0,45273.0,4840,232,3693367.0,34914.0,105785785
Equatorial Guinea,15906,183,15697.0,26.0,10709,123,307847.0,207254.0,1485360
Eritrea,9733,103,9629.0,1.0,2678,28,23693.0,6519.0,3634207
Eswatini,70102,1395,68663.0,44.0,59326,1181,1010050.0,854779.0,1181650
Ethiopia,470273,7509,453636.0,9128.0,3917,63,4736973.0,39457.0,120054403
Gabon,47594,303,47280.0,11.0,20518,131,1591228.0,685985.0,2319626
Gambia,11994,365,11591.0,38.0,4726,144,155686.0,61341.0,2538026
Ghana,161101,1445,159624.0,32.0,4998,45,2430490.0,75405.0,32232672
Guinea,36459,440,35976.0,43.0,2648,32,660107.0,47940.0,13769557
Guinea-Bissau,8178,170,7306.0,702.0,3987,83,132181.0,64442.0,2051158
Ivory Coast,81857,797,81023.0,37.0,2972,29,1488217.0,54027.0,27546014
Kenya,323614,5649,317811.0,154.0,5790,101,3566917.0,63821.0,55888974
Lesotho,32910,697,24155.0,8058.0,15148,321,431221.0,198479.0,2172626
Liberia,7402,294,5747.0,1361.0,1404,56,139824.0,26531.0,5270206
Libya,501862,6429,490900.0,4533.0,71303,913,2476960.0,351921.0,7038407
Madagascar,64121,1391,59370.0,3360.0,2214,48,418849.0,14461.0,28963604
Malawi,85728,2631,81915.0,1182.0,4283,131,568887.0,28425.0,20013624
Mali,30658,729,29758.0,171.0,1440,34,660050.0,30998.0,21293408
Mauritania,58681,982,57689.0,10.0,12054,202,795018.0,163311.0,4868134
Mauritius,37391,985,35417.0,989.0,29314,772,358675.0,281194.0,1275543
Morocco,1164381,16063,1147674.0,644.0,30891,426,11237010.0,298119.0,37693072
Mozambique,225329,2200,223071.0,58.0,6865,67,1306353.0,39803.0,32820677
Namibia,158074,4022,153662.0,390.0,60260,1533,996110.0,379732.0,2623191
Niger,8877,308,8494.0,75.0,344,12,247351.0,9598.0,25772436
Nigeria,255648,3143,249847.0,2658.0,1188,15,4977858.0,23123.0,215273377
Rwanda,129758,1458,45522.0,82778.0,9593,108,5196697.0,384195.0,13526199
Sao Tome and Principe,5948,73,5872.0,3.0,26268,322,29036.0,128230.0,226436
Senegal,85968,1965,83981.0,22.0,4903,112,1059624.0,60437.0,17532686
Seychelles,41660,164,40675.0,821.0,418963,1649,,,99436
Sierra Leone,7681,125,,,929,15,259958.0,31445.0,8267039
Somalia,26471,1350,13182.0,11939.0,1586,81,400466.0,24000.0,16685807
South Africa,3741230,100147,3627594.0,13489.0,61690,1651,24189010.0,398855.0,60646133
South Sudan,17369,138,13514.0,3717.0,1520,12,370216.0,32394.0,11428458
Sudan,62057,4929,,,1359,108,562941.0,12324.0,45679651
Tanzania,33851,803,,,539,13,,,62775439
Togo,36963,273,36672.0,18.0,4285,32,725546.0,84115.0,8625614
Tunisia,1038668,28509,,,86269,2368,4547755.0,377726.0,12039819
Uganda,164051,3596,100205.0,60250.0,3395,74,2605320.0,53915.0,48322744
Zambia,318515,3973,313692.0,850.0,16500,206,3399995.0,176127.0,19304253
Zimbabwe,247278,5463,241012.0,803.0,16215,358,2228935.0,146161.0,15249881
